覆	覆 复
覇	霸
覈	核
覊	羁
見	见
覎	觃
規	规
覓	觅
覔	觅
視	视
覘	觇
覜	眺
覡	觋
覦	觎
覩	睹
親	亲
覬	觊
覯	觏
覲	觐
覷	觑
覺	觉
覽	览
覿	觌
觀	观
觔	斤
觕	粗
觝	抵
觴	觞
觶	觯
觸	触
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訏	𬣙
訐	讦
訒	讱
訓	训
訕	讪
訖	讫
託	托
記	记
訛	讹
訝	讶
訟	讼
訢	䜣 欣
訣	诀
訥	讷
訩	讻
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注
証	证
詁	诂
詆	诋
詎	讵
詐	诈
詒	诒
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詝	𬣞
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詧	察
詩	诗
詪	𬣳
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詶	酬
詷	𫍣
詼	诙
詿	诖
誄	诔
誅	诛
誆	诓
誇	夸
誌	志
認	认
誑	诳
誕	诞
誖	悖
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
説	说
誰	谁
課	课
誶	谇
誹	诽
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諐	愆
諑	诼
諒	谅
諓	𬣡
